Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total,suma,periodo
2022,4,Buenos Aires,28934,23347,259866,281550,244555,98670,3760109,97634.0,4794665,4794665.0,2022-4
2022,4,Capital Federal,516,5096,31320,64653,36336,8116,1299117,106772.0,1551926,1551926.0,2022-4
2022,4,Catamarca,71,315,2716,5028,4638,3122,52739,2280.0,70909,70909.0,2022-4
2022,4,Chaco,461,771,16067,17846,6704,3039,94866,3909.0,143663,143663.0,2022-4
2022,4,Chubut,109,1614,46457,31007,34728,15770,19048,20026.0,168759,168759.0,2022-4
2022,4,Córdoba,99,9929,143686,108195,63120,20691,686330,17610.0,1049660,1049660.0,2022-4
2022,4,Corrientes,67,3282,22647,24858,7025,3770,85806,7998.0,155453,155453.0,2022-4
2022,4,Entre Ríos,107,4722,45629,46700,20927,22483,130406,0.0,270974,270974.0,2022-4
2022,4,Formosa,84,245,22458,12391,6724,310,18930,698.0,61840,61840.0,2022-4
2022,4,Jujuy,58,1763,18652,14070,36430,335,46910,0.0,118218,118218.0,2022-4
2022,4,La Pampa,68,1687,52618,10334,9167,4479,19783,16028.0,114164,114164.0,2022-4
2022,4,La Rioja,18,595,2531,3010,24435,5029,50644,0.0,86262,86262.0,2022-4
2022,4,Mendoza,103,2954,35541,20355,35935,14909,161163,21144.0,292104,292104.0,2022-4
2022,4,Misiones,51,3510,35622,21373,12196,3182,101745,8590.0,186269,186269.0,2022-4
2022,4,Neuquén,168,994,38814,13960,13008,5739,85247,2250.0,160180,160180.0,2022-4
2022,4,Río Negro,111,1081,32053,13931,20442,7335,57495,29644.0,162092,162092.0,2022-4
2022,4,Salta,114,1197,31530,71105,5036,117,90014,6747.0,205860,205860.0,2022-4
2022,4,San Juan,24,2027,30069,11247,20440,8188,19991,11840.0,103826,103826.0,2022-4
2022,4,San Luis,60,624,11785,24684,13981,78506,2227,3353.0,135220,135220.0,2022-4
2022,4,Santa Cruz,51,6810,11616,11509,10374,3236,5559,1048.0,50203,50203.0,2022-4
2022,4,Santa Fe,468,9374,115767,194420,73345,22899,453078,18340.0,887691,887691.0,2022-4
2022,4,Santiago Del Estero,178,1267,26183,58136,17735,661,14345,989.0,119494,119494.0,2022-4
2022,4,Tierra Del Fuego,22,902,11649,13634,21365,3612,1812,2264.0,55260,55260.0,2022-4
2022,4,Tucumán,39,1562,29996,35425,26369,1375,153538,15118.0,263422,263422.0,2022-4
2022,3,Buenos Aires,29985,27709,290315,297915,267044,124190,3618689,65821.0,4721668,4721668.0,2022-3
2022,3,Capital Federal,517,5742,34371,67829,51946,28692,1253105,105477.0,1547679,1547679.0,2022-3
2022,3,Catamarca,71,384,3107,5389,5099,3737,50298,2208.0,70293,70293.0,2022-3
2022,3,Chaco,461,987,16782,18938,8049,15828,79390,3711.0,144146,144146.0,2022-3
2022,3,Chubut,109,1444,45707,30940,34682,15309,17563,20024.0,165778,165778.0,2022-3
2022,3,Córdoba,99,11312,153324,111615,70989,27112,650344,13873.0,1038668,1038668.0,2022-3
2022,3,Corrientes,67,3865,23427,23948,7776,21706,56950,7107.0,144846,144846.0,2022-3
2022,3,Entre Ríos,107,5549,47210,46855,18263,32021,102195,16759.0,268959,268959.0,2022-3
2022,3,Formosa,97,307,23538,19545,6194,564,17704,589.0,68538,68538.0,2022-3
2022,3,Jujuy,58,1879,19135,15254,36083,519,45895,0.0,118823,118823.0,2022-3
2022,3,La Pampa,68,1887,61540,9653,11592,5609,22731,3012.0,116092,116092.0,2022-3
2022,3,La Rioja,18,689,2842,3375,24219,5331,50390,0.0,86864,86864.0,2022-3
2022,3,Mendoza,103,2953,44232,21977,48201,17243,150043,4771.0,289523,289523.0,2022-3
2022,3,Misiones,51,3749,36628,20758,12676,19615,80330,8350.0,182157,182157.0,2022-3
2022,3,Neuquén,134,991,38485,14080,9200,6700,78713,14858.0,163161,163161.0,2022-3
2022,3,Río Negro,111,1221,32936,17860,27934,13629,42596,24271.0,160558,160558.0,2022-3
2022,3,Salta,114,1490,32923,71199,5662,1001,85661,6491.0,204541,204541.0,2022-3
2022,3,San Juan,24,2027,30324,11247,22157,6780,19221,11619.0,103399,103399.0,2022-3
2022,3,San Luis,60,307,6563,20813,12061,67438,13,14815.0,122070,122070.0,2022-3
2022,3,Santa Cruz,52,6841,12342,11313,11378,2333,4604,647.0,49510,49510.0,2022-3
2022,3,Santa Fe,468,11132,132709,198588,70897,57455,396352,20209.0,887810,887810.0,2022-3
2022,3,Santiago Del Estero,178,1384,28357,58982,16087,910,12342,792.0,119032,119032.0,2022-3
2022,3,Tierra Del Fuego,22,831,12002,14815,20102,1752,1021,3351.0,53896,53896.0,2022-3
2022,3,Tucumán,39,2047,32571,39018,25214,4348,159600,280.0,263117,263117.0,2022-3
2022,2,Buenos Aires,30639,28323,295238,307554,273954,129869,3535757,65849.0,4667183,4667183.0,2022-2
2022,2,Capital Federal,517,5980,36036,72434,55372,31571,1229254,105607.0,1536771,1536771.0,2022-2
2022,2,Catamarca,71,413,3678,6155,7165,3393,43926,2207.0,67008,67008.0,2022-2
2022,2,Chaco,461,1047,17603,20109,8391,15974,76271,3708.0,143564,143564.0,2022-2
2022,2,Chubut,109,1444,45804,31217,34290,14526,15394,20021.0,162805,162805.0,2022-2
2022,2,Córdoba,99,11971,160486,120485,71923,28645,619400,13426.0,1026435,1026435.0,2022-2
2022,2,Corrientes,67,3937,24253,24842,8001,21719,55071,7107.0,144997,144997.0,2022-2
2022,2,Entre Ríos,107,5656,48637,48557,18512,32355,98769,16759.0,269352,269352.0,2022-2
2022,2,Formosa,97,407,23834,19706,6330,591,16326,590.0,67881,67881.0,2022-2
2022,2,Jujuy,58,1829,19458,15790,37786,549,37391,2453.0,115314,115314.0,2022-2
2022,2,La Pampa,68,1887,62546,9842,11800,5247,17125,3012.0,111527,111527.0,2022-2
2022,2,La Rioja,18,728,3179,3890,23814,5481,48920,0.0,86030,86030.0,2022-2
2022,2,Mendoza,103,2954,44961,22557,64138,19543,121366,3940.0,279562,279562.0,2022-2
2022,2,Misiones,51,3808,37254,21712,12774,19757,75107,8350.0,178813,178813.0,2022-2
2022,2,Neuquén,134,999,38826,15066,9205,2039,76982,18717.0,161968,161968.0,2022-2
2022,2,Río Negro,111,1227,33364,17938,27168,13714,41972,24270.0,159764,159764.0,2022-2
2022,2,Salta,114,1530,33732,72661,6012,1156,81478,6494.0,203177,203177.0,2022-2
2022,2,San Juan,24,2027,30385,11276,24649,3728,16701,11617.0,100407,100407.0,2022-2
2022,2,San Luis,60,306,6840,21217,11052,67438,13,14815.0,121741,121741.0,2022-2
2022,2,Santa Cruz,52,6841,12348,11369,11885,2454,3592,644.0,49185,49185.0,2022-2
2022,2,Santa Fe,468,11757,138534,204381,74133,58114,373888,17584.0,878859,878859.0,2022-2
2022,2,Santiago Del Estero,178,1401,29581,59931,14606,883,10672,792.0,118044,118044.0,2022-2
2022,2,Tierra Del Fuego,22,831,12052,14828,19968,1712,1006,3351.0,53770,53770.0,2022-2
2022,2,Tucumán,39,2195,34461,43513,23634,4863,145541,281.0,254527,254527.0,2022-2
2022,1,Buenos Aires,31591,30056,313382,321756,290127,161183,3381049,26280.0,4555424,4555424.0,2022-1
2022,1,Capital Federal,527,5575,39918,77390,61053,43289,1188072,1717.0,1417541,1417541.0,2022-1
2022,1,Catamarca,71,456,4386,7009,8773,3761,35715,2207.0,62378,62378.0,2022-1
2022,1,Chaco,461,1099,16888,21235,20898,13012,62946,7580.0,144119,144119.0,2022-1
2022,1,Chubut,113,1677,61369,31856,33080,13871,14055,15607.0,171628,171628.0,2022-1
2022,1,Córdoba,100,12782,165922,126009,73967,34892,577027,13104.0,1003803,1003803.0,2022-1
2022,1,Corrientes,67,4029,24563,25665,27077,10452,43631,7094.0,142578,142578.0,2022-1
2022,1,Entre Ríos,107,5745,50075,49620,42294,21578,81757,16750.0,267926,267926.0,2022-1
2022,1,Formosa,97,448,24113,6945,6613,716,15028,588.0,54548,54548.0,2022-1
2022,1,Jujuy,58,1761,22141,16321,37923,576,35287,2442.0,116509,116509.0,2022-1
2022,1,La Pampa,301,2223,62812,9869,12044,5250,14400,2833.0,109732,109732.0,2022-1
2022,1,La Rioja,18,778,3576,4692,23624,5645,45970,0.0,84303,84303.0,2022-1
2022,1,Mendoza,114,3355,51230,26407,74178,21566,95048,3287.0,275185,275185.0,2022-1
2022,1,Misiones,51,3873,35655,22261,26855,15854,58610,8349.0,171508,171508.0,2022-1
2022,1,Neuquén,137,1123,39856,15623,11163,2654,71238,7885.0,149679,149679.0,2022-1
2022,1,Río Negro,116,1383,35565,18859,26926,14144,37729,22652.0,157374,157374.0,2022-1
2022,1,Salta,114,1725,35576,68246,6313,2214,76838,6489.0,197515,197515.0,2022-1
2022,1,San Juan,26,2269,32356,11914,25144,2088,11916,2465.0,88178,88178.0,2022-1
2022,1,San Luis,61,643,8287,3837,9802,68612,13,28589.0,119844,119844.0,2022-1
2022,1,Santa Cruz,51,6898,12710,11502,12277,2628,2551,485.0,49102,49102.0,2022-1
2022,1,Santa Fe,468,12435,143796,208361,84787,58018,344170,18444.0,870479,870479.0,2022-1
2022,1,Santiago Del Estero,178,1401,30220,61170,13542,849,8309,792.0,116461,116461.0,2022-1
2022,1,Tierra Del Fuego,24,894,12849,15640,18034,1767,982,2421.0,52611,52611.0,2022-1
2022,1,Tucumán,39,2212,36028,46961,21014,5211,133846,273.0,245584,245584.0,2022-1
2021,4,Buenos Aires,37821,11026,352950,331292,297296,196021,3259793,22958.0,4509157,4509157.0,2021-4
2021,4,Capital Federal,563,1695,47133,81899,66135,66755,1147939,0.0,1412119,1412119.0,2021-4
2021,4,Catamarca,71,0,6038,7855,9804,3262,29827,2233.0,59090,59090.0,2021-4
2021,4,Chaco,461,112,18845,22678,21937,13692,58435,7585.0,143745,143745.0,2021-4
2021,4,Chubut,126,1294,63698,39568,31175,5780,2904,15763.0,160308,160308.0,2021-4
2021,4,Córdoba,100,2479,184548,130892,76246,41198,538700,12607.0,986770,986770.0,2021-4
2021,4,Corrientes,67,645,28830,26368,22922,10087,39911,7082.0,135912,135912.0,2021-4
2021,4,Entre Ríos,107,3024,56043,49636,38295,24068,77290,16583.0,265046,265046.0,2021-4
2021,4,Formosa,84,0,22908,6983,6811,1135,13775,1967.0,53663,53663.0,2021-4
2021,4,Jujuy,58,175,22446,16793,38134,564,33421,2324.0,113915,113915.0,2021-4
2021,4,La Pampa,301,493,64840,9082,12259,4821,12184,3027.0,107007,107007.0,2021-4
2021,4,La Rioja,18,1,5018,5437,23559,5671,43424,0.0,83128,83128.0,2021-4
2021,4,Mendoza,156,1463,66428,30308,75214,18621,75031,366.0,267587,267587.0,2021-4
2021,4,Misiones,51,5,41916,23554,26721,15954,54596,8335.0,171132,171132.0,2021-4
2021,4,Neuquén,140,940,42313,13264,10515,3310,69217,7767.0,147466,147466.0,2021-4
2021,4,Río Negro,156,1174,38373,19878,31255,4130,36142,22645.0,153753,153753.0,2021-4
2021,4,Salta,114,20,40673,69324,6642,3535,72622,6475.0,199405,199405.0,2021-4
2021,4,San Juan,44,1442,28906,10955,23978,398,9800,4435.0,79958,79958.0,2021-4
2021,4,San Luis,62,264,8550,4276,9107,67363,9,29218.0,118849,118849.0,2021-4
2021,4,Santa Cruz,52,297,20305,11641,13054,1770,876,491.0,48486,48486.0,2021-4
2021,4,Santa Fe,467,581,169706,206856,85690,62349,322015,18777.0,866441,866441.0,2021-4
2021,4,Santiago Del Estero,178,909,31915,61524,12205,800,7537,793.0,115861,115861.0,2021-4
2021,4,Tierra Del Fuego,26,385,13505,16534,16562,1748,1017,2580.0,52357,52357.0,2021-4
2021,4,Tucumán,39,97,37321,48736,21023,5326,125857,240.0,238639,238639.0,2021-4
2021,3,Buenos Aires,37193,31149,1108940,248153,141383,192797,2482266,9728.0,4251609,4251609.0,2021-3
2021,3,Capital Federal,295,603,156978,67013,39785,73502,1075229,0.0,1413405,1413405.0,2021-3
2021,3,Catamarca,71,0,6755,8428,10517,1659,26618,2206.0,56254,56254.0,2021-3
2021,3,Chaco,301,112,22545,20986,23852,14412,49705,7958.0,139871,139871.0,2021-3
2021,3,Chubut,104,105,89168,26281,18538,5320,1643,14907.0,156066,156066.0,2021-3
2021,3,Córdoba,99,2452,204989,141285,65050,47198,476459,9256.0,946788,946788.0,2021-3
2021,3,Corrientes,67,645,29629,28478,24792,9687,35468,5053.0,133819,133819.0,2021-3
2021,3,Entre Ríos,107,3024,61354,59776,39114,16284,67961,12755.0,260375,260375.0,2021-3
2021,3,Formosa,381,0,22778,7142,6978,1192,12707,1617.0,52795,52795.0,2021-3
2021,3,Jujuy,48,175,23884,16417,37755,561,29917,2401.0,111158,111158.0,2021-3
2021,3,La Pampa,298,313,65063,7395,8737,4023,10506,4152.0,100487,100487.0,2021-3
2021,3,La Rioja,18,1,5366,5979,23315,4868,42613,0.0,82160,82160.0,2021-3
2021,3,Mendoza,36,31,151871,12640,62628,7596,21087,50.0,255939,255939.0,2021-3
2021,3,Misiones,51,5,41932,25099,26079,14792,42291,8279.0,158528,158528.0,2021-3
2021,3,Neuquén,112,327,57441,8566,6234,3631,57919,5579.0,139809,139809.0,2021-3
2021,3,Río Negro,125,557,68991,3730,14880,2282,34011,20009.0,144585,144585.0,2021-3
2021,3,Salta,101,20,41431,70104,6962,3878,67010,6327.0,195833,195833.0,2021-3
2021,3,San Juan,18,333,59873,752,13250,338,278,4641.0,79483,79483.0,2021-3
2021,3,San Luis,60,0,11552,2405,6491,67942,22,29392.0,117864,117864.0,2021-3
2021,3,Santa Cruz,50,0,30561,8365,6799,1788,678,735.0,48976,48976.0,2021-3
2021,3,Santa Fe,467,579,193207,201250,83941,55080,290793,16267.0,841584,841584.0,2021-3
2021,3,Santiago Del Estero,123,909,32752,61838,11274,801,6863,898.0,115458,115458.0,2021-3
2021,3,Tierra Del Fuego,17,0,23723,13397,9782,1433,976,895.0,50223,50223.0,2021-3
2021,3,Tucumán,32,97,39446,50293,21986,5300,115154,164.0,232472,232472.0,2021-3
2021,2,Buenos Aires,37192,31178,1096049,244001,140322,236897,2337604,9108.0,4132351,4132351.0,2021-2
2021,2,Capital Federal,294,603,157558,73568,43859,86655,1037752,66.0,1400355,1400355.0,2021-2
2021,2,Catamarca,71,0,7219,9091,6828,4941,25388,2206.0,55744,55744.0,2021-2
2021,2,Chaco,301,112,23444,21574,24032,16069,47239,7958.0,140729,140729.0,2021-2
2021,2,Chubut,104,105,89639,22605,16604,3896,1112,5172.0,139237,139237.0,2021-2
2021,2,Córdoba,99,2452,201757,136516,66950,70824,442357,9925.0,930880,930880.0,2021-2
2021,2,Corrientes,67,645,29419,27037,24524,10059,32697,5053.0,129501,129501.0,2021-2
2021,2,Entre Ríos,107,3024,63518,55349,39468,18484,61605,16077.0,257632,257632.0,2021-2
2021,2,Formosa,381,0,22364,7310,7460,1341,11077,1618.0,51551,51551.0,2021-2
2021,2,Jujuy,48,175,24182,16577,37908,607,29950,2401.0,111848,111848.0,2021-2
2021,2,La Pampa,298,554,64146,7769,8128,3399,9311,4062.0,97667,97667.0,2021-2
2021,2,La Rioja,18,1,5312,5971,23298,4825,42158,19.0,81602,81602.0,2021-2
2021,2,Mendoza,36,31,137462,10886,56117,4403,20686,50.0,229671,229671.0,2021-2
2021,2,Misiones,51,5,41643,25907,25811,16172,38308,8279.0,156176,156176.0,2021-2
2021,2,Neuquén,112,327,57713,8631,5871,5943,54008,5645.0,138250,138250.0,2021-2
2021,2,Río Negro,125,557,69356,3663,15019,3867,31488,20009.0,144084,144084.0,2021-2
2021,2,Salta,101,20,42543,67012,7099,9654,58882,6328.0,191639,191639.0,2021-2
2021,2,San Juan,18,333,59989,784,12550,340,278,4641.0,78933,78933.0,2021-2
2021,2,San Luis,60,0,11752,2703,5418,65946,22,36917.0,122818,122818.0,2021-2
2021,2,Santa Cruz,50,0,30595,8463,6888,1575,676,735.0,48982,48982.0,2021-2
2021,2,Santa Fe,467,896,202018,204077,80452,75195,262124,15371.0,840600,840600.0,2021-2
2021,2,Santiago Del Estero,123,909,32034,62224,10359,811,6064,1566.0,114090,114090.0,2021-2
2021,2,Tierra Del Fuego,17,0,21335,6913,4580,476,889,1483.0,35693,35693.0,2021-2
2021,2,Tucumán,32,97,40224,51648,23732,5022,109616,2680.0,233051,233051.0,2021-2
2021,1,Buenos Aires,36939,31187,1108368,240520,163747,222061,2246313,10867.0,4060002,4060002.0,2021-1
2021,1,Capital Federal,135,244,159662,76753,56457,83255,1003041,126.0,1379673,1379673.0,2021-1
2021,1,Catamarca,71,0,7423,8455,10115,712,22996,2196.0,51968,51968.0,2021-1
