Año,Trimestre,Banda ancha fija,Dial up,Total,Periodo,var_banda_ancha,var_banda_dial,var_total,periodo
2022,4,11195668,12446,11208114,Oct-Dic 2022,1.055873839246893,0.07236471817962531,1.05477098452024,2022-4
2022,3,11078691,12437,11091128,Jul-Sept 2022,1.2099396980590975,0.008041170794467674,1.2085757742444256,2022-3
2022,2,10946248,12436,10958684,Abr-Jun 2022,3.1556469039400117,-1.4501941516760442,3.150176171725758,2022-2
2022,1,10611390,12619,10624009,Ene-Mar 2022,1.2833622206040642,-1.881657724904751,1.2794817515005539,2022-1
2021,4,10476933,12861,10489794,Oct-Dic 2021,3.9875103025413727,24.17688519841653,4.008243087802628,2021-4
2021,3,10075184,10357,10085541,Jul-Sept 2021,2.2580810827324322,-0.24080138701598922,2.255450729203969,2021-3
2021,2,9852702,10382,9863084,Abr-Jun 2021,2.228128038766726,3.654153354632588,2.2296084607210718,2021-2
2021,1,9637956,10016,9647972,Ene-Mar 2021,0.799138549351747,-0.0,0.7983023042634003,2021-1
2020,4,9561546,10016,9571562,Oct-Dic 2020,2.304288285388805,-0.0,2.3018214982387613,2020-4
2020,3,9346183,10016,9356199,Jul-Sept 2020,3.604274008318331,-0.0,3.600276645388978,2020-3
2020,2,9021040,10016,9031056,Abr-Jun 2020,2.483460542452174,0.25022520268241416,2.4809286341808714,2020-2
2020,1,8802435,9991,8812426,Ene-Mar 2020,0.2206749748635241,-1.3526856240126384,0.2188627755985007,2020-1
2019,4,8783053,10128,8793181,Oct-Dic 2019,-3.9357135505607577,-53.526361675767454,-4.053636764780979,2019-4
2019,3,9142891,21793,9164684,Jul-Sept 2019,2.2874718336906485,0.17927737427599522,2.282353447993964,2019-3
2019,2,8938427,21754,8960181,Abr-Jun 2019,3.618042125248498,-0.2659086741243352,3.6082461709952494,2019-2
2019,1,8626323,21812,8648135,Ene-Mar 2019,2.0644259635267628,-0.009168423947923353,2.0590878434394604,2019-1
2018,4,8451841,21814,8473655,Oct-Dic 2018,1.5819047157750459,-18.64090705654185,1.5169458376537297,2018-4
2018,3,8320223,26812,8347035,Jul-Sept 2018,2.9280513854523758,-0.36787930586005724,2.917115265206196,2018-3
2018,2,8083533,26911,8110444,Abr-Jun 2018,0.9182543629004863,-0.5947104018912529,0.9131580941422185,2018-2
2018,1,8009981,27072,8037053,Ene-Mar 2018,2.131935903324052,-1.355487538259729,2.1197750203234422,2018-1
2017,4,7842778,27444,7870222,Oct-Dic 2017,1.8993336533017071,-3.192352463931708,1.8806481808344735,2017-4
2017,3,7696594,28349,7724943,Jul-Sept 2017,3.9920909417394688,-0.6344199088678584,3.9743250838799713,2017-3
2017,2,7401134,28530,7429664,Abr-Jun 2017,1.701451936799759,-0.0350385423966363,1.694668412481279,2017-2
2017,1,7277314,28540,7305854,Ene-Mar 2017,0.7501736089959917,-0.017516202487300753,0.7471517262292439,2017-1
2016,4,7223128,28545,7251673,Oct-Dic 2016,0.6239325526514486,-0.22719328905976932,0.6205537710127029,2016-4
2016,3,7178340,28610,7206950,Jul-Sept 2016,1.1375106303479317,-11.901462663587376,1.0781226968172444,2016-3
2016,2,7097604,32475,7130079,Abr-Jun 2016,3.2423214148565527,-0.5420801176038221,3.224432040277061,2016-2
2016,1,6874704,32652,6907356,Ene-Mar 2016,-1.1159633898993555,0.3380247065330957,-1.1091893275585336,2016-1
2015,4,6952289,32542,6984831,Oct-Dic 2015,0.7247184149787309,-0.7896100728636323,0.7175560499190491,2015-4
2015,3,6902267,32801,6935068,Jul-Sept 2015,1.7541369004577283,-0.32817770214834846,1.7440833498137083,2015-3
2015,2,6783279,32909,6816188,Abr-Jun 2015,1.2472920485859547,-13.438371297806304,1.1644274364133214,2015-2
2015,1,6699714,38018,6737732,Ene-Mar 2015,2.1426789844815777,-3.321127047095921,2.1101172145895064,2015-1
2014,4,6559172,39324,6598496,Oct-Dic 2014,-0.0014025963888631408,9.212097647679618,0.048898673003732525,2014-4
2014,3,6559264,36007,6595271,Jul-Sept 2014,2.0368434782973925,-0.3652563712332937,2.02341476514386,2014-3
2014,2,6428329,36139,6464468,Abr-Jun 2014,1.0408657004879516,-0.4160925874896666,1.0326022232440057,2014-2
2014,1,6362108,36290,6398398,Ene-Mar 2014,,,,2014-1
