Año,Trimestre,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Más de 30 Mbps,OTROS,Total,periodo,Total2,Hasta 512 kbps_dif,Entre 512 Kbps y 1 Mbps_dif,Entre 1 Mbps y 6 Mbps_dif,Entre 6 Mbps y 10 Mbps_dif,Entre 10 Mbps y 20 Mbps_dif,Entre 20 Mbps y 30 Mbps_dif,Más de 30 Mbps_dif,OTROS_dif
2022,4,31981.0,85668.0,1075272.0,1109421.0,765015.0,335573.0,7410902.0,394282.0,11208114.0,2022-4,11208114.0,-1032.0,-11059.0,-86098.0,-42485.0,-58490.0,-144249.0,415152.0,45247.0
2022,3,33013.0,96727.0,1161370.0,1151906.0,823505.0,479822.0,6995750.0,349035.0,11091128.0,2022-3,11091128.0,-654.0,-2771.0,-31720.0,-45124.0,-33057.0,-5499.0,253828.0,-2559.0
2022,2,33667.0,99498.0,1193090.0,1197030.0,856562.0,485321.0,6741922.0,351594.0,10958684.0,2022-2,10958684.0,-1223.0,-5342.0,-70183.0,-12118.0,-110946.0,-24509.0,405735.0,153261.0
2022,1,34890.0,104840.0,1263273.0,1209148.0,967508.0,509830.0,6336187.0,198333.0,10624009.0,2022-1,10624009.0,-6372.0,76319.0,-149935.0,-36185.0,-9031.0,-48528.0,303865.0,4082.0
2021,4,41262.0,28521.0,1413208.0,1245333.0,976539.0,558358.0,6032322.0,194251.0,10489794.0,2021-4,10489794.0,1088.0,-12916.0,-1137021.0,149561.0,266417.0,21994.0,1084148.0,30982.0
2021,3,40174.0,41437.0,2550229.0,1095772.0,710122.0,536364.0,4948174.0,163269.0,10085541.0,2021-3,10085541.0,2.0,-587.0,18958.0,15493.0,16845.0,-111037.0,286883.0,-4100.0
2021,2,40172.0,42024.0,2531271.0,1080279.0,693277.0,647401.0,4661291.0,167369.0,9863084.0,2021-2,9863084.0,685.0,350.0,-62206.0,7557.0,-44653.0,51481.0,281326.0,-19428.0
2021,1,39487.0,41674.0,2593477.0,1072722.0,737930.0,595920.0,4379965.0,186797.0,9647972.0,2021-1,9647972.0,-23.0,-511.0,-29161.0,-1153.0,-48665.0,13500.0,140728.0,1695.0
2020,4,39510.0,42185.0,2622638.0,1073875.0,786595.0,582420.0,4239237.0,185102.0,9571562.0,2020-4,9571562.0,-1528.0,-1820.0,-15346.0,33858.0,-12755.0,43853.0,185776.0,-16675.0
2020,3,41038.0,44005.0,2637984.0,1040017.0,799350.0,538567.0,4053461.0,201777.0,9356199.0,2020-3,9356199.0,-0.0,-4685.0,-13518.0,-13090.0,-8425.0,15130.0,341962.0,7769.0
2020,2,41038.0,48690.0,2651502.0,1053107.0,807775.0,523437.0,3711499.0,194008.0,9031056.0,2020-2,9031056.0,-1512.0,-7480.0,1683.0,31093.0,-6695.0,-8872.0,210617.0,-204.0
2020,1,42550.0,56170.0,2649819.0,1022014.0,814470.0,532309.0,3500882.0,194212.0,8812426.0,2020-1,8812426.0,4278.0,27190.0,-142488.0,-24114.0,-37149.0,-471774.0,670136.0,-6834.0
2019,4,38272.0,28980.0,2792307.0,1046128.0,851619.0,1004083.0,2830746.0,201046.0,8793181.0,2019-4,8793181.0,-203441.0,-51619.0,-516830.0,19269.0,45153.0,-137462.0,515848.0,-42421.0
2019,3,241713.0,80599.0,3309137.0,1026859.0,806466.0,1141545.0,2314898.0,243467.0,9164684.0,2019-3,9164684.0,38923.0,-15381.0,-135321.0,155717.0,-363166.0,-108821.0,637068.0,-4516.0
2019,2,202790.0,95980.0,3444458.0,871142.0,1169632.0,1250366.0,1677830.0,247983.0,8960181.0,2019-2,8960181.0,36217.0,-99726.0,15699.0,-11694.0,-295116.0,6151.0,539102.0,121413.0
2019,1,166573.0,195706.0,3428759.0,882836.0,1464748.0,1244215.0,1138728.0,126570.0,8648135.0,2019-1,8648135.0,27833.0,-5490.0,90777.0,448.0,-7886.0,-444533.0,539149.0,-25818.0
2018,4,138740.0,201196.0,3337982.0,882388.0,1472634.0,1688748.0,599579.0,152388.0,8473655.0,2018-4,8473655.0,133065.0,-19393.0,-63295.0,22975.0,-134503.0,117056.0,74802.0,-4087.0
